Kanton;Datum und Vorlage;Stimmberechtigte;Abgegebene Stimmen;Beteiligung in %;Gültige Stimmzettel;Ja;Nein;Ja in %
Basel-Landschaft;24.09.2000 Konstruktives Referendum;175866;81029;46.1;77428;26370;51058;34.1
Basel-Landschaft;24.09.2000 Regelung der Zuwanderung;175866;81825;46.5;80702;30191;50511;37.4
Basel-Landschaft;24.09.2000 Umweltabgabe;175866;81055;46.1;78665;36505;42160;46.4
Basel-Landschaft;24.09.2000 Förderabgabe;175866;81035;46.1;80041;36445;41424;46.8
Basel-Landschaft;24.09.2000 Solarinitiative;175866;81035;46.1;80041;27331;51335;34.7
Basel-Landschaft;21.05.2000 Bilaterale Abkommen mit der EU;175700;85511;48.7;84566;59983;24583;70.9
Basel-Landschaft;12.03.2000 Verkehrshalbierungs-Initiative;175484;74797;42.6;73978;16438;57540;22.2
Basel-Landschaft;12.03.2000 Menschenwürdige Fortpflanzung;175484;74453;42.4;72439;20322;52117;28.1
Basel-Landschaft;12.03.2000 Quoten-Initiative;175484;74452;42.4;73146;12214;60932;16.7
Basel-Landschaft;12.03.2000 Beschleunigungs-Initiative;175484;74205;42.3;72590;21593;50997;29.7
Basel-Landschaft;12.03.2000 Justizreform;175484;74019;42.2;71330;63380;7950;88.9
Basel-Landschaft;13.06.1999 Mutterschaftsversicherung;175053;85494;48.8;84458;29149;55309;34.5
Basel-Landschaft;13.06.1999 Invalidenversicherung;175053;84733;48.4;81716;26511;55205;32.4
Basel-Landschaft;13.06.1999 Verschreibung von Heroin;175053;84919;48.5;83034;53912;29122;64.9
Basel-Landschaft;13.06.1999 Massnahmen Asyl- und Ausländerbereich;175053;84755;48.4;82199;62485;19714;76.0
Basel-Landschaft;13.06.1999 Asylgesetz;175053;84746;48.4;82321;62269;20052;75.6
Basel-Landschaft;18.04.1999 Neue Bundesverfassung;174807;56699;32.4;56085;36998;19087;66.0
Basel-Landschaft;07.02.1999 Raumplanungsgesetz;174813;72471;41.5;70413;34640;35773;49.2
Basel-Landschaft;07.02.1999 Wohneigentums-Initiative;174813;73094;41.8;72313;32368;39945;44.8
Basel-Landschaft;07.02.1999 Transplantationsmedizin;174813;72542;41.5;70901;62267;8634;87.8
Basel-Landschaft;07.02.1999 Wählbarkeit in den Bundesrat;174813;72498;41.5;71258;56382;14876;79.1
Basel-Landschaft;29.11.1998 Arbeitsgesetz;174844;63180;36.1;61022;41125;19897;67.4
Basel-Landschaft;29.11.1998 Vernünftige Drogenpolitik;174844;63498;36.3;62310;18890;43420;30.3
Basel-Landschaft;29.11.1998 Getreideartikel;174844;62977;36.0;60306;50926;9380;84.4
Basel-Landschaft;29.11.1998 Finanzierung öffentlicher Verkehr (FinöV);174844;63427;36.3;62286;42734;19552;68.6
Basel-Landschaft;27.09.1998 10. AHV-Revision ohne Erhöhung Rentenalter;174692;90987;52.1;89332;35386;53946;39.6
Basel-Landschaft;27.09.1998 Kleinbauern-Initiative;174692;90693;51.9;88257;21590;66667;24.5
Basel-Landschaft;27.09.1998 Leistungsabhängige Schwerverkehrsabgabe (LSVA);174692;91352;52.3;90328;56532;33796;62.6
Basel-Landschaft;07.06.1998 S.o.S.-Initiative;174603;77419;44.3;75130;17944;57186;23.9
Basel-Landschaft;07.06.1998 Gen-Schutz-Initiative;174603;78992;45.2;77688;22779;54909;29.3
Basel-Landschaft;07.06.1998 Haushaltsziel 2001;174603;77729;44.5;74694;55765;18929;74.7
Basel-Landschaft;28.09.1997 Jugend ohne Drogen;173978;82514;47.4;81435;16896;64539;20.7
Basel-Landschaft;28.09.1997 Finanzierung der Arbeitslosenversicherung;173978;82068;47.2;79990;39933;40057;49.9
Basel-Landschaft;08.06.1997 Aufhebung Pulverregal;173641;61963;35.7;59531;50738;8793;85.2
Basel-Landschaft;08.06.1997 Kriegsmaterial-Initiative;173641;62460;36.0;61362;15517;45845;25.3
Basel-Landschaft;08.06.1997 EU-Beitrittsverhandlungen vors Volk;173641;62426;36.0;61595;16242;45353;26.4
Basel-Landschaft;01.12.1996 Arbeitsgesetz;173680;78579;45.2;77449;27771;49678;35.9
Basel-Landschaft;01.12.1996 Gegen die illegale Einwanderung;173680;78598;45.3;77591;37437;40154;48.2
Basel-Landschaft;09.06.1996 Regierungs- und Verwaltungsorganisationsgesetz;173277;50579;29.2;49262;18918;30344;38.4
Basel-Landschaft;09.06.1996 Landwirtschaftsartikel;173277;50695;29.3;49900;40647;9253;81.5
Basel-Landschaft;10.03.1996 Aufhebung Beiträge an Bahnhofparkplätze;172873;49629;28.7;48379;26430;21949;54.6
Basel-Landschaft;10.03.1996 Übernahme von Branntwein und Brennapparaten;172873;49489;28.6;47731;39712;8019;83.2
Basel-Landschaft;10.03.1996 Persönliche militärische Ausrüstung;172873;49621;28.7;48227;25836;22391;53.6
Basel-Landschaft;10.03.1996 Übertritt Vellerat zum Kanton Jura;172873;49636;28.7;48491;45190;3301;93.2
Basel-Landschaft;10.03.1996 Sprachenartikel;172873;49464;28.6;48360;37786;10574;78.1
Basel-Landschaft;25.06.1995 Erwerb von Grundstücken durch Ausländer;172792;71720;41.5;70185;29550;40635;42.1
Basel-Landschaft;25.06.1995 Ausbau von AHV und IV;172792;71857;41.6;70717;20407;50310;28.9
Basel-Landschaft;25.06.1995 10. AHV-Revision;172792;71905;41.6;71203;42292;28911;59.4
Basel-Landschaft;12.03.1995 Ausgabenbremse;172322;64775;37.6;63051;54543;8508;86.5
Basel-Landschaft;12.03.1995 Landwirtschaftsgesetz;172322;64930;37.7;63669;15698;47971;24.7
Basel-Landschaft;12.03.1995 Milchwirtschaftsbeschluss;172322;64970;37.7;63789;17876;45913;28.0
